city,year,restaurants,lat,lon,2013,2014,2015,2016,2017,2018,2019
Montreal,2013,30,45.5339,-73.6363,1,1,1,1,1,1,1
Quebec City,2014,100,46.8153,-71.2412,0,1,1,1,1,1,1
Ottawa,2014,100,45.4152,-75.6980,0,1,1,1,1,1,1
Toronto,2014,100,43.6532,-79.3831,0,1,1,1,1,1,1
Ottawa,2015,120,45.4152,-75.6980,0,0,1,1,1,1,1
Sherbrooke,2015,120,45.4061,-71.9024,0,0,1,1,1,1,1
"Brooklyn, NY",2015,120,40.6765,-73.9460,0,0,1,1,1,1,1
"Wollonggong, AUS",2015,120,-34.4233,150.8895,0,0,1,1,1,1,1
"Auckland, NZ",2016,120,-36.8519,174.7630,0,0,0,1,1,1,1
"Melbourne, AUS",2016,120,-37.8136,144.9584,0,0,0,1,1,1,1
"Buenos Aires, AR",2016,120,-34.6129,-58.4432,0,0,0,1,1,1,1
"London, UK",2016,120,51.5071,-0.1257,0,0,0,1,1,1,1
"San Diego, CA",2016,120,32.7162,-117.1647,0,0,0,1,1,1,1
"Brunswick, AUS",2016,120,-37.7670,144.9619,0,0,0,1,1,1,1
"Portland, OR",2016,120,45.5157,-122.6746,0,0,0,1,1,1,1
"Paris, FR",2016,120,48.8564,2.3518,0,0,0,1,1,1,1
"Renne, FR",2016,120,48.1139,-1.6801,0,0,0,1,1,1,1
"Sao Paulo, BR",2016,120,-23.5551,-46.6414,0,0,0,1,1,1,1
Cornwall,2017,,45.0213,-74.7302,0,0,0,0,1,1,1
Vancouver,2018,240,49.2497,-123.0958,0,0,0,0,0,1,1
Lanaudière,2018,240,46.2062,-73.7213,0,0,0,0,0,1,1
Saguenay,2018,240,48.4242,-71.1163,0,0,0,0,0,1,1
Abitibi,2018,240,48.1200,-77.8019,0,0,0,0,0,1,1
Magog,2018,240,45.2666,-72.1471,0,0,0,0,0,1,1
Trois-Rivières,2018,240,46.4529,-72.4331,0,0,0,0,0,1,1
Bas-Saint-Laurent,2018,240,48.4649,-68.5324,0,0,0,0,0,1,1
Longueuil,2018,240,45.5148,-73.4315,0,0,0,0,0,1,1
Laval,2018,240,45.6059,-73.7037,0,0,0,0,0,1,1
Regina,2018,240,50.4459,-104.6162,0,0,0,0,0,1,1
Edmonton,2018,240,53.5458,-113.4934,0,0,0,0,0,1,1
Calgary,2018,240,51.0458,-113.9498,0,0,0,0,0,1,1
Winnipeg,2018,240,49.8953,-97.1381,0,0,0,0,0,1,1
Saskatoon,2019,,52.1580,-106.6672,0,0,0,0,0,0,1
Victoria,2019,,48.4287,-123.3645,0,0,0,0,0,0,1
"Richmond, BC",2019,,49.1703,-123.1335,0,0,0,0,0,0,1
"Surrey, BC",2019,,49.1933,-122.8471,0,0,0,0,0,0,1
"Whistler, BC",2019,,50.1161,-122.9528,0,0,0,0,0,0,1
"Kelowna, BC",2019,,49.8882,-119.4947,0,0,0,0,0,0,1
"Salmon Arm, BC",2019,,50.6996,119.2782,0,0,0,0,0,0,1
"Cranbrook, BC",2019,,49.5130,-115.7691,0,0,0,0,0,0,1
,2021,700,,,,,,,,,